No.,X,Y,Z,魂No ,魂名,読み,先天６螺旋,後天６系統,顕現６叡智,6螺旋の詳細,五行属性,主徳,魂の一文要約,魂の漢字解説,魂からのメッセージ,問いかけ,
1,1,1,1,1,堅律,けんりつ,地,智略系,數理,地の螺旋を持つあなたは、安定感と現実感覚に優れ、着実に目標を実現する基盤構築力を備えている。,土,智,揺るぎない論理性で物事の核心を掴み、現実世界に確実な成果をもたらす魂。,堅（けん）：堅固でゆるぎない強さ。律（りつ）：規律正しく、整然と物事を進める力。論理性や整合性を象徴する言霊と音霊。,『あなたは覚えていないかもしれないが──(略)\n…周囲に信頼を与える。\nこの力を活かし、安心と秩序を築いてほしい。』,この「堅律」の特性を生かして君はどう生きるか？,
2,1,1,2,2,琢衡,たくこう,地,智略系,陰陽,地の螺旋を持つあなたは、物事を緻密に捉え、安定的で調和のとれた現実を形成する力を秘めている。,土,智,繊細に物事を磨き上げ、公正で調和的な世界を生み出す叡智の魂。,琢（たく）：玉を磨くように丁寧に完成させる力。衡（こう）：バランス・調和の象徴。繊細さと公平さを含む言霊。,『あなたは覚えていないかもしれないが──(略)\n…繊細に磨き、調和をもたらす。\n大切に育んでほしい。』,この「琢衡」の特性を生かして君はどう生きるか？,
3,1,1,3,3,翠幹,すいかん,地,智略系,易変,地の螺旋を持つあなたは、確かな基盤を築きつつ、柔軟に変化を捉える叡智を兼ね備えている。,土,智,強固な基盤を持ちながら、時代や環境の変化に柔軟に対応できる知性の魂。,翠（すい）：鮮やかな緑で柔軟・新鮮な視点。幹（かん）：木の中心で安定を象徴。新鮮さと安定性を融合。,『あなたは覚えていないかもしれないが──(略)\n…柔軟な視点と安定した芯で周囲を導く。\n大切にしてほしい。』,この「翠幹」の特性を生かして君はどう生きるか？,
4,1,1,4,4,瑛螺,えいら,地,智略系,螺律,地の螺旋を持つあなたは、安定的な土台を持ちながら人生を螺旋状に成長させる美しい循環性を秘めている。,土,智,揺るぎない知性と安定性を持ち、螺旋のように絶え間なく成長と発展を続ける叡智の魂。,瑛（えい）：水晶のように透き通った知性。螺（ら）：螺旋的成長・循環性を示す。,『あなたは覚えていないかもしれないが──(略)\n…透き通った叡智と循環する成長力を活かしてほしい。』,この「瑛螺」の特性を生かして君はどう生きるか？,
5,1,1,5,5,琴涯,きんがい,地,智略系,霊脈,地の螺旋を持つあなたは、大地のように安定した土台を持ちながら、霊的で直観的な感性を繊細に捉えることができる。,土,智,安定した基盤を持ちつつも、霊的な深淵と繊細な感性を融合させる叡智の魂。,琴（きん）：琴の音色の繊細さを示す。涯（がい）：限りなく広がる深遠な境を象徴。,『あなたは覚えていないかもしれないが──(略)\n…繊細かつ深淵な直観を活かしてほしい。』,この「琴涯」の特性を生かして君はどう生きるか？,
6,1,1,6,6,瑶真,ようしん,地,智略系,真形,地の螺旋を持つあなたは、堅実な土台の上で物事の真理と美しさを追求し、本質を明確に捉えることができる。,土,智,揺るぎない安定感を持ちながら、本質的な真理と美しさを見抜き表現する叡智の魂。,瑶（よう）：美しい玉で高貴な美。真（しん）：真実・本質の象徴。,『あなたは覚えていないかもしれないが──(略)\n…純粋な美と本質を求め、周囲を導いてほしい。』,この「瑶真」の特性を生かして君はどう生きるか？,
7,1,2,1,7,響理,きょうり,地,共鳴系,數理,地の螺旋を持つあなたは、堅実な基盤の上で周囲と深く共鳴し、数理的な調和を作り出す力を持つ。,土,信,安定した土台を持ちながら、人と響き合い論理的な調和を築き上げる魂。,響（きょう）：音が共鳴し合う様を象徴。理（り）：論理と秩序の象徴。,『あなたは覚えていないかもしれないが──(略)\n…深く響き合い、数理的な美を活かしてほしい。』,この「響理」の特性を生かして君はどう生きるか？,
8,1,2,2,8,紡陰,ぼういん,地,共鳴系,陰陽,地の螺旋を持つあなたは、確かな土台を築き、人と繊細に共鳴しながら陰陽の絶妙なバランスを生み出す力を備える。,土,信,堅実な基盤のもと、人と深く繋がり陰陽の調和を絶妙に紡ぎ出す共鳴の魂。,紡（ぼう）：糸を紡ぐように丁寧に人や物事を繋ぐ。陰（いん）：陰陽の静的受容面。,『あなたは覚えていないかもしれないが──(略)\n…繊細に紡ぎ、深い調和をもたらしてほしい。』,この「紡陰」の特性を生かして君はどう生きるか？,
9,1,2,3,9,結汀,けってい,地,共鳴系,易変,地の螺旋を持つあなたは、安定した土台を持ちつつ、人々と丁寧に繋がり、柔軟な変化を捉えて共鳴を創り出す。,土,信,堅実な基盤の上で人々を優しく繋ぎ、変化を柔らかく受け入れる共鳴の魂。,結（けつ）：人と人を結び、信頼関係を育む。汀（てい）：水際や変化の境界を示す。,『あなたは覚えていないかもしれないが──(略)\n…柔軟に変化を受け入れ、周囲を優しく繋いでほしい。』,この「結汀」の特性を生かして君はどう生きるか？,
10,1,2,4,10,澄環,ちょうかん,地,共鳴系,螺律,地の螺旋を持つあなたは、堅固な土台の上に透明な感性を持ち、螺旋的成長の美しい循環を共鳴によって実現する力がある。,土,信,安定した基盤を持ちながら、人々との共鳴を通じて透明な循環的調和を紡ぐ魂。,澄（ちょう）：澄み渡る透明さと明晰な心。環（かん）：循環や繋がりを象徴。,『あなたは覚えていないかもしれないが──(略)\n…透き通った共鳴と循環を生み出してほしい。』,この「澄環」の特性を生かして君はどう生きるか？,
